"tran_id","date","amount","card","id_merchant","cardholder_id","credit_name"
3163,"2018-12-07 07:22:03","$1,894.00","4761049645711555811",9,1,"Robert Johnson"
2451,"2018-03-05 08:26:08","$1,617.00","5570600642865857",4,16,"Crystal Clark"
2840,"2018-03-06 07:18:09","$1,334.00","4319653513507",87,25,"Nancy Contreras"
1442,"2018-01-22 08:07:03","$1,131.00","5570600642865857",144,16,"Crystal Clark"
968,"2018-09-26 08:48:40","$1,060.00","4761049645711555811",134,1,"Robert Johnson"
1368,"2018-09-06 08:28:55","$1,017.00","4761049645711555811",135,1,"Robert Johnson"
1620,"2018-03-26 07:41:59","$1,009.00","30181963913340",111,9,"Laurie Gibbs"
208,"2018-12-14 08:51:41","$748.00","501879657465",96,12,"Megan Price"
774,"2018-04-01 07:17:21","$100.00","4319653513507",111,25,"Nancy Contreras"
2540,"2018-08-26 07:15:18","$23.13","4506405265172173",147,20,"Kevin Spencer"
2523,"2018-08-28 07:17:14","$20.71","4165305432349489280",128,10,"Matthew Gutierrez"
3005,"2018-10-07 08:16:54","$20.44","4586962917519654607",89,20,"Kevin Spencer"
2677,"2018-10-18 07:16:04","$19.86","5500708021555307",96,16,"Crystal Clark"
3238,"2018-03-03 08:42:02","$19.50","4681896441519",23,24,"Stephanie Dalton"
2539,"2018-06-04 08:30:28","$19.49","584226564303",63,4,"Danielle Green"
2895,"2018-03-26 08:08:27","$19.34","5500708021555307",96,16,"Crystal Clark"
2538,"2018-06-01 08:56:59","$19.33","180098539019105",79,11,"Brandon Pineda"
3217,"2018-12-23 07:39:47","$19.27","4962915017023706562",35,10,"Matthew Gutierrez"
2826,"2018-09-23 07:30:56","$19.02","4723783028106084756",99,15,"Kyle Tucker"
2861,"2018-02-21 08:21:10","$18.98","4268491956169254",23,5,"Sara Cooper"
2847,"2018-08-02 07:44:24","$18.93","5361779664174555",34,19,"Peter Mckay"
2703,"2018-07-04 08:51:29","$18.93","213193946980303",26,10,"Matthew Gutierrez"
2723,"2018-06-09 07:29:28","$18.82","4188164051171486",65,23,"Mark Lewis"
2756,"2018-06-02 07:45:48","$18.76","4150721559116778",86,23,"Mark Lewis"
3291,"2018-01-06 08:42:50","$18.72","3535651398328201",76,20,"Kevin Spencer"
2833,"2018-06-24 07:28:48","$18.60","5175947111814778",44,14,"Gary Jacobs"
2484,"2018-06-23 07:12:06","$18.56","4834483169177062",64,8,"Michael Floyd"
3019,"2018-08-14 08:38:49","$18.54","4498002758300",55,18,"Malik Carlson"
3305,"2018-10-07 07:08:08","$18.53","3582198969197591",81,24,"Stephanie Dalton"
2836,"2018-02-27 08:27:00","$18.52","675911140852",6,2,"Shane Shaffer"
2661,"2018-09-12 07:33:19","$18.48","4834483169177062",26,8,"Michael Floyd"
2890,"2018-01-06 07:00:32","$18.35","3561954487988605",76,13,"John Martin"
2590,"2018-02-18 08:54:19","$18.30","344119623920892",69,18,"Malik Carlson"
3007,"2018-02-25 07:55:21","$18.14","3535651398328201",43,20,"Kevin Spencer"
2688,"2018-02-05 08:37:24","$17.85","180098539019105",1,11,"Brandon Pineda"
2692,"2018-09-02 07:36:42","$17.80","4150721559116778",106,23,"Mark Lewis"
3316,"2018-04-15 08:32:38","$17.78","501879657465",85,12,"Megan Price"
3020,"2018-04-09 07:08:11","$17.73","4150721559116778",61,23,"Mark Lewis"
2955,"2018-06-13 08:46:29","$17.56","4279104135293225293",102,21,"Dana Washington"
2633,"2018-01-18 08:18:50","$17.54","4165305432349489280",104,10,"Matthew Gutierrez"
2838,"2018-01-18 08:58:13","$17.53","180098539019105",137,11,"Brandon Pineda"
2805,"2018-05-20 08:36:46","$17.48","4159836738768855913",47,6,"Beth Hernandez"
3240,"2018-06-02 07:44:39","$17.47","3535651398328201",56,20,"Kevin Spencer"
2866,"2018-01-16 08:02:04","$17.36","30078299053512",116,3,"Elizabeth Sawyer"
3087,"2018-12-28 07:02:38","$17.13","4711773125020499",96,13,"John Martin"
2673,"2018-06-08 07:31:57","$17.03","4268491956169254",122,5,"Sara Cooper"
2834,"2018-10-29 07:18:34","$16.85","503842928916",127,16,"Crystal Clark"
3223,"2018-10-28 07:02:33","$16.85","4276466390111",32,5,"Sara Cooper"
2854,"2018-04-23 08:18:49","$16.65","4834483169177062",62,8,"Michael Floyd"
3040,"2018-05-03 07:20:28","$16.64","584226564303",66,4,"Danielle Green"
2486,"2018-03-05 07:34:15","$16.58","4319653513507",135,25,"Nancy Contreras"
2640,"2018-02-18 07:25:42","$16.38","3582198969197591",94,24,"Stephanie Dalton"
2570,"2018-03-28 07:36:02","$16.36","4165305432349489280",67,10,"Matthew Gutierrez"
3062,"2018-12-16 08:41:53","$16.35","3581345943543942",61,6,"Beth Hernandez"
2557,"2018-01-06 08:49:34","$16.28","4268491956169254",101,5,"Sara Cooper"
3011,"2018-07-17 08:10:36","$16.21","4586962917519654607",83,20,"Kevin Spencer"
2717,"2018-06-10 07:55:27","$16.16","4498002758300",10,18,"Malik Carlson"
2816,"2018-04-11 08:26:52","$16.07","5135837688671496",34,13,"John Martin"
2637,"2018-09-06 08:35:35","$15.98","3535651398328201",73,20,"Kevin Spencer"
3230,"2018-06-19 07:16:54","$15.98","372414832802279",47,25,"Nancy Contreras"
3182,"2018-05-28 07:57:39","$15.96","675911140852",128,2,"Shane Shaffer"
2467,"2018-06-26 08:00:22","$15.94","503842928916",141,16,"Crystal Clark"
2747,"2018-10-30 07:08:04","$15.94","4188164051171486",25,23,"Mark Lewis"
2996,"2018-05-20 07:05:42","$15.37","30142966699187",120,24,"Stephanie Dalton"
2521,"2018-01-14 07:33:54","$15.21","4741042733274",21,23,"Mark Lewis"
3284,"2018-01-27 08:36:58","$15.15","6500236164848279",71,15,"Kyle Tucker"
3100,"2018-02-25 08:23:37","$15.10","4834483169177062",138,8,"Michael Floyd"
2988,"2018-06-10 08:20:40","$15.05","5135837688671496",127,13,"John Martin"
2831,"2018-04-20 08:27:59","$15.04","30142966699187",33,24,"Stephanie Dalton"
2909,"2018-09-26 07:52:23","$14.94","4743204091443101526",34,19,"Peter Mckay"
2515,"2018-12-11 07:42:50","$14.92","3517111172421930",71,1,"Robert Johnson"
3053,"2018-04-07 07:18:20","$14.80","5297187379298983",23,12,"Megan Price"
2819,"2018-08-02 07:13:49","$14.42","3516952396080247",14,7,"Sean Taylor"
3058,"2018-12-15 08:34:15","$14.36","372414832802279",83,25,"Nancy Contreras"
1659,"2018-04-24 07:41:49","$14.30","6500236164848279",147,15,"Kyle Tucker"
1147,"2018-10-22 07:41:56","$13.83","4711773125020499",129,13,"John Martin"
2885,"2018-09-03 07:27:55","$13.59","376027549341849",123,12,"Megan Price"
929,"2018-03-10 08:52:09","$13.53","675911140852",109,2,"Shane Shaffer"
3303,"2018-04-27 08:08:38","$13.52","3561072557118696",86,19,"Peter Mckay"
2842,"2018-02-26 07:31:20","$13.46","4586962917519654607",21,20,"Kevin Spencer"
1874,"2018-05-01 07:40:00","$12.98","6500236164848279",136,15,"Kyle Tucker"
1636,"2018-10-27 08:04:44","$12.98","4150721559116778",3,23,"Mark Lewis"
1862,"2018-03-30 08:12:28","$12.96","4268491956169254",103,5,"Sara Cooper"
1889,"2018-01-17 07:31:03","$12.67","4498002758300",89,18,"Malik Carlson"
3306,"2018-08-08 08:36:23","$12.52","180098539019105",116,11,"Brandon Pineda"
900,"2018-07-30 08:49:16","$12.50","4276466390111",48,5,"Sara Cooper"
1087,"2018-11-30 08:52:20","$12.32","4539990688484983",110,7,"Sean Taylor"
1218,"2018-12-29 08:11:55","$12.25","4498002758300",6,18,"Malik Carlson"
1246,"2018-02-19 08:50:36","$12.17","4761049645711555811",149,1,"Robert Johnson"
1456,"2018-01-20 08:35:34","$11.96","501879657465",121,12,"Megan Price"
1066,"2018-07-31 07:44:59","$11.93","4681896441519",132,24,"Stephanie Dalton"
1593,"2018-01-17 07:56:09","$11.91","4681896441519",2,24,"Stephanie Dalton"
1423,"2018-06-08 07:25:30","$11.88","372414832802279",20,25,"Nancy Contreras"
1168,"2018-12-31 08:22:17","$11.87","4188164051171486",54,23,"Mark Lewis"
1865,"2018-08-30 08:46:49","$11.86","584226564303",122,4,"Danielle Green"
1251,"2018-04-08 07:06:20","$11.73","3561954487988605",83,13,"John Martin"
1843,"2018-09-15 08:33:49","$11.72","5500708021555307",128,16,"Crystal Clark"
1797,"2018-12-18 07:45:28","$11.70","4279104135293225293",80,21,"Dana Washington"
1356,"2018-02-25 07:37:03","$11.68","5135837688671496",107,13,"John Martin"
887,"2018-05-04 08:21:59","$11.65","4027907156459098",16,11,"Brandon Pineda"
